index,周次,星期,角色,模块,模块形成任务,主日统领主题,本日主题,经文出处,每日门训正文,和合本经文全文,门训步骤,思考入口,思考引导,生活导向,经文关键词（候选）,选择区目标,今日操练,七日总结/宣告,内容状态,备注
0,1,主日,主日信息入口,模块1｜认识基督,建立对基督、福音与身份的基本认识,被差来的主,被差来的主,路4：14-21,今天先慢下来。读 路加福音 4:14-21，让“被差来的主”成为这一周共同的入口。不要急着把主日信息变成更多知识，先问：抓住“差遣”进入本周。把这个问题放进你真实的生活，找出一个本周愿意跟随主的场景。主日的领受要进入一周的生活，才会成为门徒的道路。,,进入,从主日信息进入本周,抓住“差遣”进入本周,认识这位被差来的主，也把祂的使命带进这一周。,差遣｜贫穷｜释放,选定本周一个要活出来的方向,完成一个本周个人回应,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
1,1,周一,拓宽眼界,模块1｜认识基督,建立对基督、福音与身份的基本认识,被差来的主,周一默想,约1：1-14,读 约翰福音 1:1-14 时，先把注意力放在经文的人、行动和张力上。今天特别思想：从“道成肉身”看见主怎样进入人的处境。然后问自己，这件事在我的生活里有没有类似的位置？不要急着改变，先诚实记录一次。能够看见，是让神的话从纸面进入生命的第一步。,,看见,先看见经文中的人和行动,从“道成肉身”看见主怎样进入人的处境,今天先留意一个人，不急着评价他,道｜肉身｜住在我们中间,沿用现有选择区逻辑,我决定今天以______的眼光看人,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
2,1,周二,深入省察,模块1｜认识基督,建立对基督、福音与身份的基本认识,被差来的主,周二省察,可1：35-39,门徒训练不仅改变行为，也改变里面的动机。读 马可福音 1:35-39，认真面对“从耶稣退到旷野祷告，看见自己怎样安排安静与忙碌”。当你察觉到防卫、焦虑、比较或自我保护时，不要赶快掩盖。把那个最真实的反应写下来，求主带你从看见走向悔改与信靠。,,省察,先看见自己的真实反应,从耶稣退到旷野祷告，看见自己怎样安排安静与忙碌,把今天最容易占满你的事放到主面前,清早｜旷野｜祷告,沿用现有选择区逻辑,我决定今天先______再______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
3,1,周三,生活应用,模块1｜认识基督,建立对基督、福音与身份的基本认识,被差来的主,周三应用,太9：35-38,今天把经文缩小成一个选择。读 马太福音 9:35-38，问自己：从耶稣看见困苦流离的人，留意身边真实的需要。不要设计一个很大的计划，只找一个今天能完成的小行动。门徒的成长常常发生在普通时间、普通决定和普通责任里。选定时间点去做，完成后再回看它带来了什么改变。,,看见,先找一个今天能做的地方,从耶稣看见困苦流离的人，留意身边真实的需要,不要只看见事情，也看见人,怜悯｜困苦流离｜收割,沿用现有选择区逻辑,我决定今天为______祷告并留意他的需要,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
4,1,周四,关系实践,模块1｜认识基督,建立对基督、福音与身份的基本认识,被差来的主,周四关系,约4：7-15,门徒生命一定会影响人与人的相处。读 约翰福音 4:7-15，问自己：从耶稣与撒玛利亚妇人的相遇，看见主动靠近。选一个具体的人，少一点自我证明，多一点靠近与承担。你今天不需要解决这段关系的全部问题，只需要完成一个真实而善意的动作，并留意自己的心发生了什么。,,靠近,先放进一个真实关系,从耶稣与撒玛利亚妇人的相遇，看见主动靠近,先听见一个人的真实需要，再回应,活水｜敬拜｜真理,沿用现有选择区逻辑,我决定主动______,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
5,1,周五,行动承诺,模块1｜认识基督,建立对基督、福音与身份的基本认识,被差来的主,周五行动,路10：1-3,回应就是把领受交在行动里。读 路加福音 10:1-3，思想“从“差遣”进入今天的见证位置”对今天意味着什么。选择一个具体行动，并为它安排明确的时间。做完不要急着评估自己，而是回头看：我是否更愿意跟随？神又让我看见了什么？,,回应,先确定今天要走的一步,从“差遣”进入今天的见证位置,不等一个特别机会，先在身边忠心做一步,差遣｜庄稼｜工人,沿用现有选择区逻辑,我决定今天在______作主的见证,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
6,1,周六,轻回顾,模块1｜认识基督,建立对基督、福音与身份的基本认识,被差来的主,回顾本周：被差来的主,诗23：1-6,今天是回顾的一天。读 诗篇 23:1-6，回头看这一周，特别整理：确认一个变化，也确定下一步。不要只问“我做得好不好”，而要问三件事：神让我看见什么？我实际做了什么？下一步要继续什么？把一个真实学习写下来，再把下一步写成下周可以执行的动作。,,回顾,回头看这一周,确认一个变化，也确定下一步,把这一周的发现带回生活,回顾｜本周变化｜下一步,根据本周选择生成总结,选定下一步,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜总结规则待程序实现,保留原表经文；本轮完成语言与门训结构校准
7,2,主日,主日信息入口,模块1｜认识基督,建立对基督、福音与身份的基本认识,恩典没有围墙,恩典没有围墙,路4：22-30,今天是新一周的起点。读 路加福音 4:22-30，先观察经文如何把我们带到“恩典没有围墙”。抓住“恩言”进入本周。不要要求自己一次改变很多，只需要认出一个最真实的回应方向，并为接下来的六天留下一个可以反复操练的生活位置。,,进入,从主日信息进入本周,抓住“恩言”进入本周,认识神的恩典没有边界，也学习把恩典带给人。,恩言｜先知｜外邦,选定本周一个要活出来的方向,完成一个本周个人回应,根据Day 1–6选择生成“一句方向＋一句鼓励”,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
8,2,周一,拓宽眼界,模块1｜认识基督,建立对基督、福音与身份的基本认识,恩典没有围墙,周一默想,赛61：1-3,今天不急着得到“正确答案”，而是练习观察。读 以赛亚书 61:1-3，留意“从受膏、差遣与恩典看见神主动施恩”怎样显现在经文里，也怎样可能出现在你今天的生活中。选择一个固定场景停一分钟，看见自己真实的反应，并把它带到主面前。,,看见,先看见经文中的人和行动,从受膏、差遣与恩典看见神主动施恩,留意自己习惯把恩典留给谁,受膏｜差遣｜禧年,沿用现有选择区逻辑,我决定今天以______的眼光看人,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
9,2,周二,深入省察,模块1｜认识基督,建立对基督、福音与身份的基本认识,恩典没有围墙,周二省察,拿4：1-11,今天从外在经文转向内在生命。读 约拿书 4:1-11，诚实面对：从约拿的怒气看见自己里面的边界。不要先解释自己，也不要急着定罪自己。试着辨认这个反应背后更深的欲望、惧怕、骄傲或不信。省察不是自责，而是在神面前停止遮掩，愿意让主触碰真实的自己。,,省察,先看见自己的真实反应,从约拿的怒气看见自己里面的边界,把不愿神恩待的人带到主面前,发怒｜怜悯｜后悔,沿用现有选择区逻辑,我决定今天放下对______的偏见,,已校准｜需最终经文逐字核验,保留原表经文；本轮完成语言与门训结构校准
